cz_2000,cz_1990
1,5300
1,5202
1,4902
2,24701
3,37601
4,28001
4,26503
5,28900
6,27011
7,30903
7,30904
8,10200
8,10301
9,31900
9,32000
10,15900
10,15400
11,27102
11,26503
12,21400
12,26902
13,21002
14,2400
15,27501
16,3500
16,3300
17,34901
17,34902
18,39100
19,8503
20,10301
20,9800
21,10801
21,10700
22,9800
22,9701
23,4002
23,4004
24,28202
25,14200
25,14000
25,14400
26,13101
27,31201
27,31202
28,33802
28,33803
29,33500
29,34002
30,8401
31,17600
31,17300
32,16600
33,26801
34,2900
34,3101
35,32900
35,32701
36,11302
37,34804
37,31007
38,12501
39,2000
39,2500
40,30402
41,9301
42,33100
42,33200
42,32802
42,33300
43,26201
43,26202
44,29700
45,3003
45,3002
46,38401
47,21501
48,38502
49,30100
49,30000
50,14700
51,2300
52,35801
53,11700
53,11600
54,5600
55,29503
55,29506
55,29505
56,3300
57,28001
57,27801
58,24300
58,24400
58,24000
59,16901
59,16902
59,15300
60,11101
60,11102
61,8800
61,8701
62,9900
63,13200
64,7600
64,7900
64,7500
65,302
65,6502
66,24802
66,24900
67,8900
68,32601
68,32603
69,31301
70,24100
71,4200
72,12901
73,20401
74,11304
75,7400
76,20500
77,13501
77,13300
78,20901
79,9702
80,37604
80,37902
81,15300
82,29301
82,29302
83,21301
84,8000
84,8100
85,25000
86,32501
86,32402
87,1701
87,1702
88,36301
89,12701
89,12702
90,6600
91,1203
92,4103
93,37400
93,37603
93,37300
94,20100
94,20001
95,34403
96,18600
97,31401
97,31402
98,8202
99,31700
100,22601
100,22602
101,29901
102,33000
103,34102
104,12301
105,20200
106,6100
106,6401
106,6402
107,27601
108,5900
108,5401
109,38901
110,1500
111,11402
112,401
113,18800
113,18700
114,3600
115,24400
116,17100
117,25300
117,4902
118,32100
119,9001
120,10700
120,6000
121,29502
122,24801
123,1201
123,1202
124,35701
125,29203
126,29601
127,24802
127,23900
128,25401
128,25402
128,25300
129,38801
129,38901
130,21003
131,26410
131,26404
132,35702
133,29204
134,19400
135,27006
135,27007
136,16300
136,16702
137,8601
138,900
138,800
138,1100
139,36100
140,6200
141,9301
141,9200
141,9100
142,8800
142,8201
143,10900
144,21701
145,23900
146,1600
147,2000
147,2100
148,15000
149,31101
150,602
151,19300
151,19400
151,19600
152,17501
153,28401
153,28402
154,3700
155,29203
155,29005
155,29104
156,4701
157,5401
157,13200
158,35001
159,28502
159,28401
160,31800
161,22200
161,22100
162,1500
162,1400
163,33400
164,18201
164,18000
165,8602
166,5000
167,100
168,3800
169,17900
170,15200
171,34114
171,39400
171,39302
172,12001
173,19903
174,39204
174,39100
175,34802
176,13000
177,5700
178,17502
178,17200
178,11304
179,26002
179,26003
180,19901
181,12800
182,1900
183,28702
184,18000
185,25103
186,22900
187,37200
187,37000
188,10302
189,4901
189,4903
189,4902
190,9500
191,14100
191,13700
192,23600
193,32301
193,32302
194,9002
195,20301
196,19800
197,8501
197,8503
198,17700
198,18300
199,5402
199,6301
199,6302
200,30000
201,36301
202,14500
202,14400
203,16300
204,22800
205,7900
205,7800
206,27002
206,27903
207,35002
208,35802
209,25701
209,24600
210,27701
211,37400
212,8201
212,8100
213,15500
214,17700
214,18100
215,16500
216,10802
216,10801
216,10501
217,6502
218,37500
219,11301
220,1301
220,1302
221,24900
221,23302
222,15600
223,22700
223,23100
223,22900
224,23500
225,4102
226,31302
226,31301
227,36200
228,5402
229,23801
230,22001
231,19100
231,19000
232,11600
233,22500
234,36303
234,36404
235,23301
235,23302
235,23500
236,14900
236,13600
236,13900
237,7100
238,1302
239,20800
240,30300
241,28608
242,23301
242,14400
243,31001
244,28609
245,28101
245,28102
246,1100
246,1002
247,9200
248,500
249,12200
249,12100
250,19600
251,19200
251,19100
252,8900
252,9001
252,9003
253,26107
254,11001
255,2700
256,11203
257,2800
258,3203
259,25900
260,27602
261,2600
262,36000
262,35902
263,21004
263,22602
264,34805
265,34001
266,12903
266,4601
267,27901
267,29102
268,10400
268,3003
268,10502
269,33700
270,30802
270,30801
271,26703
271,26704
271,26301
272,14600
273,30905
273,30904
274,35902
275,4800
275,3002
276,26304
277,7500
278,8402
278,9100
279,21001
280,23700
281,20600
282,8300
283,32801
284,13700
284,12100
285,13900
286,33500
286,33200
286,33300
287,29402
288,30601
288,30603
289,3201
289,3202
289,3901
290,35600
290,34701
290,34703
291,31600
292,28306
293,28607
293,28606
294,37800
294,37700
295,28201
295,29505
296,16400
297,37901
298,2100
298,1900
299,32502
299,32503
300,34308
301,26504
302,17000
302,16901
303,9600
304,21801
305,21600
306,10000
306,9900
307,7200
307,7100
308,19700
309,18800
310,9400
310,9100
311,12902
311,17100
311,4501
312,10802
312,11001
313,3902
313,3901
314,4002
314,4003
315,34801
315,34803
316,19600
316,19700
317,29800
318,15400
319,4502
320,23400
321,25101
322,12401
322,12402
323,38300
324,26605
325,6700
326,26403
326,26401
327,15700
327,15900
328,200
328,301
329,27802
330,11303
331,25200
332,16100
333,32401
333,31401
334,6900
335,27009
335,27010
336,4402
337,12600
338,3400
339,20001
339,20002
340,38602
340,38601
341,8502
342,11201
342,11202
343,25602
343,25401
344,23200
344,23802
345,3101
345,3202
345,3102
346,900
347,10101
348,37300
348,36600
349,25500
350,25702
351,4401
351,4402
352,11900
352,11800
353,29800
354,38700
355,19902
356,26701
357,1204
358,18900
359,16801
359,16600
359,11202
360,26802
360,26803
361,700
361,800
362,38802
363,35402
363,35300
364,29700
364,25102
365,34504
366,22700
367,16802
367,16703
368,29503
368,29506
369,33601
369,33603
370,30502
370,30501
371,9302
372,12702
373,39203
374,7700
375,26701
376,29602
377,36402
378,
378,34115
379,31004
380,11002
381,35201
382,8503
382,10102
383,14300
384,25601
385,18500
386,34002
386,33200
387,32201
388,12402
389,5201
389,5202
390,26301
390,26302
391,16000
392,32305
393,26106
393,22300
394,36404
395,12302
396,37602
396,37601
397,33801
398,20302
399,24600
400,12502
401,27402
402,1002
403,2200
404,13400
405,30901
405,30902
406,29003
406,29002
406,29004
407,30402
407,30401
408,13700
408,13600
409,9600
410,7000
411,34001
411,34002
412,39400
413,5300
414,36401
415,26901
415,26902
416,4702
417,15100
418,11304
418,17400
419,30906
419,30908
420,16200
420,16300
421,402
422,4001
423,35300
424,8702
425,33602
426,30200
427,19500
428,29403
429,27005
430,25102
430,25105
431,18100
432,13502
432,13501
433,33902
434,17600
434,2200
435,30502
436,16701
437,27102
438,35401
439,4501
439,12901
440,24200
441,17300
442,15800
443,23302
443,14802
444,31006
444,31007
445,34601
446,10502
446,10501
447,33100
447,33000
448,14100
448,14000
449,31002
449,31006
450,301
450,4502
451,26901
452,33901
452,30403
452,33803
453,32604
454,17200
455,21900
456,29401
456,29403
457,5500
457,6200
457,4903
458,10801
459,27605
460,35803
461,28304
461,28302
462,10600
463,13102
463,12901
464,29504
464,29502
465,34603
466,17800
467,26501
467,26502
468,4601
469,26104
469,26105
470,23200
470,23000
470,23100
471,23302
471,14801
471,14700
472,4602
472,5402
472,6302
473,30100
474,26603
474,26604
475,33300
475,32201
476,35100
477,38402
478,22300
479,26601
479,26602
480,5800
480,5500
481,31404
481,30605
482,601
482,1001
483,32304
484,37000
485,32802
486,20700
487,34305
488,36800
489,38501
490,32503
491,27101
492,26102
492,26103
493,24500
494,5100
495,34404
496,26001
497,33901
498,38601
498,34501
499,21201
500,28502
500,28504
501,38601
502,28604
503,34203
504,27201
504,27202
505,29004
506,31501
506,32306
506,32304
507,21802
508,11403
509,28201
509,27502
510,27702
510,28302
510,28303
511,32701
512,31005
513,11500
513,11600
514,27002
515,28800
516,29201
516,28102
517,21101
518,27301
518,27302
519,11401
520,25800
521,26409
522,6800
523,13103
524,18202
524,18201
525,34301
526,27502
526,26106
527,18400
527,18300
528,1400
529,36403
530,35904
530,35905
531,4602
532,27801
532,27001
533,30801
534,32702
535,29006
535,29007
536,13300
536,12501
537,26702
538,31503
539,34402
540,26411
541,32401
541,32403
542,29902
543,34204
543,34203
544,26406
544,26408
545,23000
545,24000
546,28305
547,27003
548,24801
548,23700
549,29302
549,29005
550,27902
551,32201
551,32202
552,35500
552,34901
553,4301
554,26101
555,21502
556,27704
557,31502
558,6600
558,6100
559,1800
560,5800
561,22002
562,6501
563,27202
564,27401
564,27504
564,27402
565,16100
565,19200
566,21302
567,21102
568,25104
568,4302
569,31303
569,32303
570,26305
570,26303
571,28301
571,28302
572,30402
572,30300
572,29901
573,6402
574,12002
575,37903
576,29101
576,29103
577,26305
578,28304
579,28800
579,28301
580,29202
581,35901
582,29008
582,31003
583,11900
584,38200
585,30902
585,30903
586,22400
587,13800
588,32000
588,31102
589,3001
590,21702
591,21202
592,32302
592,31304
592,32303
593,3901
593,3201
594,29303
595,34304
595,34307
596,39303
596,39400
597,27503
598,28602
598,28603
599,26404
600,34201
601,7300
602,4101
602,4102
603,28002
604,29401
605,26203
606,31403
606,32301
606,32304
607,29001
608,32602
609,34503
610,31403
610,32305
611,34304
612,36700
613,28503
614,27302
615,36901
616,29501
617,35903
617,35402
618,34302
619,30602
620,27008
621,27504
622,26412
623,34309
624,26803
624,26204
625,27702
626,28504
627,32503
627,30907
628,25103
628,25104
629,24702
630,20902
631,34202
632,32501
633,35202
634,30906
635,36501
635,37603
636,27701
636,27704
637,36501
638,34109
638,34110
638,
639,34104
640,39000
641,37700
642,27004
643,29103
643,29006
644,32403
644,32503
645,34103
646,27603
647,30604
648,28606
648,28605
649,34111
650,31003
650,28605
651,27703
652,29001
652,29301
653,28601
654,36302
655,30701
656,30702
656,34803
657,39201
658,38100
659,36902
660,34101
661,26405
661,26407
662,38902
663,28704
663,34602
664,26401
664,26402
665,34902
666,34604
667,34108
668,34107
669,34303
670,7700
671,26102
672,31001
673,39202
674,34307
675,26602
676,28704
677,35201
678,10000
679,34115
680,27604
681,26804
682,1202
683,26004
684,27012
685,34306
686,34401
687,29008
689,20003
690,31103
691,28703
692,34112
693,28501
694,39205
695,36502
696,34110
697,28701
698,34502
699,36503
700,39301
701,34107
702,34702
703,26408
704,20402
705,20403
706,34106
707,34112
901,34113
901,34105
902,38000
903,37100
