naics2,title,size,share,ybar,skill,psi,logwage,educ,female,ind_effects_adj,skill_adj,wc
11,"Agriculture, Forestry, Fishing and Hunting",14521500,.0057974318,9.119637985056642,-.23639491,.1600199445649554,2.4767909,10.751294,.25015509,.087610438,-.19985279,14362906
21,"Mining, Quarrying, and Oil and Gas Extraction",17357000,.0069294511,9.907692861669647,.078292206,.6216018609206663,3.1919909,12.97792,.13971388,.6229651,-.020007471,7220964
22,Utilities,22397000,.008941575,9.883547126847349,.1957944,.4882216904049652,3.3027666,13.703637,.22356102,.60447341,.1092599,10880466
23,Construction,128355000,.051243287,9.480455354290836,.018735725,.2519794398348332,2.8842602,11.975319,.097480118,.35374469,-.058517601,76508740
31,Manufacturing,301714000,.12045356,9.496683524795007,-.054122381,.3507790765426861,2.9783087,13.042388,.2923328,.37315267,.016122887,134717657
42,Wholesale Trade,130636000,.05215393,9.576520224134237,.080336347,.2953918605897304,2.9691465,13.229444,.30545518,.34781817,.032295261,33440145
44,Retail Trade,217762000,.086937323,9.135955763631856,-.15786937,.107345273821879,2.5829251,12.921857,.49625352,.13417928,-.14028744,142576468
48,Transportation and Warehousing,100640500,.040178798,9.400998082282978,-.045566775,.2447079436211068,2.881074,12.773271,.25708759,.30663061,-.014589984,52427096
51,Information,65171000,.026018279,9.774592855718035,.1897753,.3897066501971737,3.140033,14.506565,.41156489,.43130851,.11969135,26356316
52,Finance and Insurance,142134000,.056744289,9.692685437685565,.17488569,.3178242862369314,3.2271664,14.660404,.58864439,.5190739,.11905921,58418174
53,Real Estate and Rental and Leasing,38044000,.015188341,9.39164688255704,-.027557533,.2231172221638104,2.9364994,13.649796,.46116078,.29658061,.050885566,20490365
54,"Professional, Scientific, and Technical Services",188490000,.075251035,9.79500684916972,.27015549,.3280365313809752,3.3243246,15.553283,.44785538,.47749209,.2577993,79387834
55,Management of Companies and Enterprises,54190000,.021634324,9.721000000000002,.18473975,.3368,3.3686621,14.98748,.52864075,.569821,.2098082,1236036
56,Administrative and Support and Waste Management and Remediation Services,115789000,.04622655,9.232461615524793,-.14208186,.1796835277962501,2.620158,12.386898,.39349058,.14522864,-.11410385,54007211
61,Educational Services,262961000,.10498216,9.403770475469749,.068487816,.1328712307148208,2.9050806,15.634477,.69316709,.16107546,.15497187,116410348
62,Health Care and Social Assistance,366702000,.14639878,9.330891838604645,-.058944006,.1917180369891629,2.9046671,14.262817,.78994685,.2960363,.019597745,171052779
71,"Arts, Entertainment, and Recreation",28920000,.011545759,9.248313520055326,-.062411044,.1239991362378977,2.6359687,13.47475,.46327403,.13642943,-.089493826,25348528
72,Accommodation and Food Services,105870000,.042266577,8.952966751676588,-.274028,.038937392634682,2.3609095,12.195494,.52462941,.038936999,-.26706082,96377033
81,Other Services (except Public Administration),61329000,.024484433,9.259572323044566,-.07718201,.1439517557762234,2.6437497,13.061143,.50578469,.1128398,-.058123253,50860818
92,Public Administration,141833000,.056624118,9.471000620447994,-.010014789,.2789325989015251,3.1409857,14.45152,.43962136,.42675492,.12519775,61287032
,SD,,,.2207806466609657,.13721281,.1044336164717529,.26453525,1.2213697,.19657275,.14892778,.13770522,
