
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="alpha_j",="psi_j",="alpha_j",="alpha",="alpha",="alpha",="alphahat",="alphar"

="y_j",="0.6185",="0.3722",="",="",="",="",="",=""
="",="(0.0194)",="(0.0183)",="",="",="",="",="",=""

="psi_j",="",="",="0.9012",="0.9005",="",="0.3299",="0.6587",="0.2418"
="",="",="",="(0.1226)",="(0.1227)",="",="(0.0997)",="(0.1538)",="(0.0827)"

="skill_m3",="",="",="",="",="1.0410",="0.9017",="",=""
="",="",="",="",="",="(0.0698)",="(0.0838)",="",=""

="_cons",="3.6212",="-3.2754",="9.2440",="9.2441",="6.4394",="6.7653",="9.3010",="-0.0569"
="",="(0.1828)",="(0.1726)",="(0.0357)",="(0.0357)",="(0.1957)",="(0.2234)",="(0.0501)",="(0.0256)"

="N",="311",="311",="311",="310",="310",="310",="310",="310"
="R-sq",="0.867",="0.717",="0.356",="0.355",="0.712",="0.747",="0.267",="0.089"

="Standard errors in parentheses"
