
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="ind_effects_m1",="ind_effects_m2",="ind_effects_m3",="ind_effects_m1",="ind_effects_m2",="ind_effects_m3"

="psi_j",="1.2390",="1.1686",="1.1659",="1.2390",="1.1686",="1.1659"
="",="(0.0728)",="(0.0639)",="(0.0571)",="(0.0523)",="(0.0460)",="(0.0424)"

="_cons",="-0.2524",="-0.2395",="-0.2391",="-0.2524",="-0.2395",="-0.2391"
="",="(0.0173)",="(0.0163)",="(0.0156)",="(0.0139)",="(0.0122)",="(0.0113)"

="N",="310",="310",="310",="310",="310",="310"
="R-sq",="0.645",="0.677",="0.710",="0.645",="0.677",="0.710"
="adj. R-sq",="0.644",="0.676",="0.709",="0.644",="0.676",="0.709"
="sdy",="0.1887",="0.1737",="0.1692",="0.1887",="0.1737",="0.1692"
="sdpsi",="0.1223",="0.1223",="0.1223",="0.1223",="0.1223",="0.1223"

="Standard errors in parentheses"
